name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
LANCER Men's Sports & Outdoor Walking Shoes,men's shoes,Sports Shoes,https://m.media-amazon.com/images/I/71Kk4vEif7L._AC_UL320_.jpg,https://www.amazon.in/Lancer-INDUS-260BGN-PGN-41-Sports-Outdoor-Walking/dp/B09RDVYTT7/ref=sr_1_1877?qid=1679147253&s=shoes&sr=1-1877,4.5,9,₹664,"₹1,199"
Backpack GNL Vignette Red,bags & luggage,Rucksacks,https://m.media-amazon.com/images/I/81TF5K6gmiS._AC_UL320_.jpg,https://www.amazon.in/SG-Backpack-GNL-Vignette-Red/dp/B091Y836VJ/ref=sr_1_4830?qid=1679218760&s=luggage&sr=1-4830,,,"₹2,150","₹2,290"
Chromozome Men's Regular Fit Cotton Track Pants,stores,Men's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71rSPIAVIYL._AC_UL320_.jpg,https://www.amazon.in/Chromozome-Pants-N253-Team-Tracks_Blue_Large/dp/B07QMW4MT6/ref=sr_1_3330?qid=1679150825&s=apparel&sr=1-3330,3.7,"1,036",₹599,₹999
Peora 18K Gold Plated Kundan Faux Bead Bridal Necklace Jewellery Set for Women Girls,stores,Women's Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71pAghg5FtL._AC_UL320_.jpg,https://www.amazon.in/Traditional-Plated-Kundan-Necklace-Jewellery/dp/B07MQVYHQV/ref=sr_1_15211?qid=1679212293&s=apparel&sr=1-15211,4.0,983,"₹1,199","₹11,574"
"Crompton Ozone Desert Air Cooler- 75L; with Everlast Pump, Auto Fill, 4-Way Air Deflection and High Density Honeycomb pad...",appliances,Kitchen & Home Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51VBo2iDGxL._AC_UL320_.jpg,https://www.amazon.in/Crompton-Greaves-75-Litre-Desert-Cooler/dp/B01DPL9B00/ref=sr_1_108?qid=1679134471&s=kitchen&sr=1-108,4.0,"10,523","₹10,439","₹17,200"
"DAZZLE GUARDS SCREEN Protector Film For Nikon D5600 D5300 D5500 + LCD Screen Protector Film, Exuun Optical 9H Hardness 0.3...","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/31zosYoZrIL._AC_UL320_.jpg,https://www.amazon.in/DAZZLE-GUARDS-Nikon-Ultra-Thin-Installation/dp/B08Y7YD11S/ref=sr_1_3580?qid=1679132757&s=electronics&sr=1-3580,4.1,8,₹195,₹999
Qpets® Cat Vest Harness with 1.2m Dog Leash Adjustable Size Dog Vest Harness Breathable Mesh Fabric with Safety Reflective...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61QebmjTh1L._AC_UL320_.jpg,https://www.amazon.in/Qpets%C2%AE-Harness-Adjustable-Breathable-Reflective/dp/B0B8CXCWG9/ref=sr_1_849?qid=1679214643&s=pet-supplies&sr=1-849,3.6,26,₹544,₹755
RIFFWAY-New 3 Inch Hidden Height Increasing Men/s Formal Shoes Size-9 Brown,men's shoes,Formal Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/617qL9hEMRL._AC_UL320_.jpg,https://www.amazon.in/RIFFWAY-New-Hidden-Height-Increasing-Formal/dp/B0BH4JSLSR/ref=sr_1_12183?qid=1679148346&s=shoes&sr=1-12183,,,,
Hug n Wag Tearless Puppy Shampoo - 200 ml (Pack of 2),pet supplies,Dog supplies,https://m.media-amazon.com/images/I/810aN9SQLML._AC_UL320_.jpg,https://www.amazon.in/Hug-Wag-Tearless-Puppy-Shampoo/dp/B07TKYL93Q/ref=sr_1_7030?qid=1679214890&s=pet-supplies&sr=1-7030,4.3,52,₹401,₹500
"Cello Plastic Knits Style Shopping Basket, Beige, Pack of 1",home & kitchen,Home Storage,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/818GLns8SdL._AC_UL320_.jpg,https://www.amazon.in/Cello-Knits-Style-Shopping-Basket/dp/B07RB48LXB/ref=sr_1_1186?qid=1679213788&s=kitchen&sr=1-1186,3.9,280,₹799,"₹1,068"
Aerosoles Women's Fibbie Flat Sandal,women's shoes,Ballerinas,https://m.media-amazon.com/images/I/71CqbUM2lGS._AC_UL320_.jpg,https://www.amazon.in/Aerosoles-Womens-Fibbie-Sandal-Fabric/dp/B08YDF32YM/ref=sr_1_10974?qid=1679211922&s=shoes&sr=1-10974,4.2,10,,"₹12,596.94"
Groom Squad Printed Polyester Round Neck Casual T-Shirt (White),men's clothing,T-shirts & Polos,https://m.media-amazon.com/images/I/31GpAlezS7L._AC_UL320_.jpg,https://www.amazon.in/Printed-Polyester-Casual-T-Shirt-X-Large/dp/B098QTX7TT/ref=sr_1_14448?qid=1679140530&s=apparel&sr=1-14448,,,₹399,₹799
"Jd Fresh 8 Inch Heavy Duty Plant Cutter For Home Garden Scissors, Plant Branch Cutter For Tree, Pruner Cutter Heavy Duty, ...",stores,Amazon Fashion,https://m.media-amazon.com/images/I/61Ls0gGESZS._AC_UL320_.jpg,https://www.amazon.in/Heavy-Duty-Scissors-Gardening-Prunning/dp/B093FDQ5HK/ref=sr_1_6023?qid=1679212429&s=apparel&sr=1-6023,3.8,"1,791",₹499,₹999
